Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
23,1995,Big Ten,9,4,0,.692,16.14,8.29,14,7,17,Lloyd Carr (9-4),Alamo Bowl-L,
24,1994,Big Ten,8,4,0,.667,16.73,11.48,5,4,12,Gary Moeller (8-4),Holiday Bowl-W,
25,1993,Big Ten,8,4,0,.667,16.73,6.23,3,3,21,Gary Moeller (8-4),Hall of Fame Bowl-W,
26,1992,Big Ten,9,0,3,.875,18.90,3.73,6,3,5,Gary Moeller (9-0-3),Rose Bowl-W,
27,1991,Big Ten,10,2,0,.833,19.54,6.87,2,2,6,Gary Moeller (10-2),Rose Bowl-L,
28,1990,Big Ten,9,3,0,.750,18.86,6.11,6,1,7,Gary Moeller (9-3),Gator Bowl-W,
29,1989,Big Ten,10,2,0,.833,17.70,5.61,1,1,7,Bo Schembechler (10-2),Rose Bowl-L,
30,1988,Big Ten,9,2,1,.792,18.04,6.70,11,4,4,Bo Schembechler (9-2-1),Rose Bowl-W,
31,1987,Big Ten,8,4,0,.667,11.90,3.32,7,7,19,Bo Schembechler (8-4),Hall of Fame Bowl-W,
32,1986,Big Ten,11,2,0,.846,17.71,5.40,2,2,8,Bo Schembechler (11-2),Rose Bowl-L,
33,1985,Big Ten,10,1,1,.875,23.81,8.64,,2,2,Bo Schembechler (10-1-1),Fiesta Bowl-W,
34,1984,Big Ten,6,6,0,.500,5.77,5.35,14,3,,Bo Schembechler (6-6),Holiday Bowl-L,
35,1983,Big Ten,9,3,0,.750,16.32,5.16,10,6,8,Bo Schembechler (9-3),Sugar Bowl-L,
36,1982,Big Ten,8,4,0,.667,15.89,7.05,12,10,,Bo Schembechler (8-4),Rose Bowl-L,
37,1981,Big Ten,9,3,0,.750,17.29,4.87,1,1,12,Bo Schembechler (9-3),Bluebonnet Bowl-W,
38,1980,Big Ten,10,2,0,.833,19.79,5.88,12,4,4,Bo Schembechler (10-2),Rose Bowl-W,
39,1979,Big Ten,8,4,0,.667,15.36,7.11,7,6,18,Bo Schembechler (8-4),Gator Bowl-L,
40,1978,Big Ten,10,2,0,.833,21.25,6.42,6,3,5,Bo Schembechler (10-2),Rose Bowl-L,
41,1977,Big Ten,10,2,0,.833,19.65,7.07,2,1,9,Bo Schembechler (10-2),Rose Bowl-L,
42,1976,Big Ten,10,2,0,.833,24.67,7.00,2,1,3,Bo Schembechler (10-2),Rose Bowl-L,
43,1975,Big Ten,8,2,2,.750,17.99,7.82,3,2,8,Bo Schembechler (8-2-2),Orange Bowl-L,
44,1974,Big Ten,10,1,0,.909,20.86,6.31,6,3,3,Bo Schembechler (10-1),,
45,1973,Big Ten,10,0,1,.955,28.08,7.99,5,4,6,Bo Schembechler (10-0-1),,
46,1972,Big Ten,10,1,0,.909,20.96,5.68,10,3,6,Bo Schembechler (10-1),,
47,1971,Big Ten,11,1,0,.917,19.54,2.79,4,2,6,Bo Schembechler (11-1),Rose Bowl-L,
48,1970,Big Ten,9,1,0,.900,22.12,7.62,8,4,9,Bo Schembechler (9-1),,
49,1969,Big Ten,8,3,0,.727,19.11,7.65,,7,9,Bo Schembechler (8-3),Rose Bowl-L,
50,1968,Big Ten,8,2,0,.800,14.70,3.50,,4,12,Bump Elliott (8-2),,
51,1967,Big Ten,4,6,0,.400,-0.05,2.75,,,,Bump Elliott (4-6),,
52,1966,Big Ten,6,4,0,.600,7.94,2.94,,8,,Bump Elliott (6-4),,
53,1965,Big Ten,4,6,0,.400,11.50,11.50,4,4,,Bump Elliott (4-6),,
54,1964,Big Ten,9,1,0,.900,24.24,11.04,,4,4,Bump Elliott (9-1),Rose Bowl-W,
55,1963,Big Ten,3,4,2,.444,13.23,13.12,,,,Bump Elliott (3-4-2),,
56,1962,Big Ten,2,7,0,.222,0.82,14.15,,,,Bump Elliott (2-7),,
57,1961,Big Ten,6,3,0,.667,16.83,11.72,,6,,Bump Elliott (6-3),,
58,1960,Big Ten,5,4,0,.556,18.44,12.88,,,,Bump Elliott (5-4),,
59,1959,Big Ten,4,5,0,.444,4.78,8.89,,,,Bump Elliott (4-5),,
60,1958,Big Ten,2,6,1,.278,3.47,10.91,,14,,Bennie Oosterbaan (2-6-1),,
61,1957,Big Ten,5,3,1,.611,11.30,7.19,6,6,,Bennie Oosterbaan (5-3-1),,
62,1956,Big Ten,7,2,0,.778,22.71,11.71,8,5,7,Bennie Oosterbaan (7-2),,
63,1955,Big Ten,7,2,0,.778,13.43,5.21,3,1,12,Bennie Oosterbaan (7-2),,
64,1954,Big Ten,6,3,0,.667,14.65,9.88,,11,15,Bennie Oosterbaan (6-3),,
65,1953,Big Ten,6,3,0,.667,15.00,10.33,,4,20,Bennie Oosterbaan (6-3),,
66,1952,Western,5,4,0,.556,13.71,8.71,,12,,Bennie Oosterbaan (5-4),,
67,1951,Western,4,5,0,.444,12.72,11.61,17,15,,Bennie Oosterbaan (4-5),,
68,1950,Western,6,3,1,.650,16.32,12.62,3,3,9,Bennie Oosterbaan (6-3-1),Rose Bowl-W,
69,1949,Western,6,2,1,.722,22.27,17.04,,1,7,Bennie Oosterbaan (6-2-1),,
70,1948,Western,9,0,0,1.000,28.49,12.04,,1,1,Bennie Oosterbaan (9-0),,
71,1947,Western,10,0,0,1.000,30.39,10.09,,1,2,Fritz Crisler (10-0),Rose Bowl-W,
72,1946,Western,6,2,1,.722,24.77,13.11,,4,6,Fritz Crisler (6-2-1),,
73,1945,Western,7,3,0,.700,22.57,15.27,,6,6,Fritz Crisler (7-3),,
74,1944,Western,8,2,0,.800,24.46,13.76,,5,8,Fritz Crisler (8-2),,
75,1943,Western,8,1,0,.889,27.55,10.66,,2,3,Fritz Crisler (8-1),,
76,1942,Western,7,3,0,.700,17.21,9.41,,3,9,Fritz Crisler (7-3),,
77,1941,Western,6,1,1,.813,21.87,10.99,,3,5,Fritz Crisler (6-1-1),,
78,1940,Western,7,1,0,.875,28.21,13.59,,3,3,Fritz Crisler (7-1),,
79,1939,Western,6,2,0,.750,13.31,4.68,,2,20,Fritz Crisler (6-2),,
80,1938,Western,6,1,1,.813,14.54,4.91,,12,16,Fritz Crisler (6-1-1),,
81,1937,Western,4,4,0,.500,-0.98,2.90,,,,Harry Kipke (4-4),,
82,1936,Western,1,7,0,.125,0.08,11.71,,,,Harry Kipke (1-7),,
83,1935,Western,4,4,0,.500,3.32,7.94,,,,Harry Kipke (4-4),,
84,1934,Western,1,7,0,.125,-3.99,9.14,,,,Harry Kipke (1-7),,
85,1933,Western,7,0,1,.938,24.49,11.74,,,,Harry Kipke (7-0-1),,
86,1932,Western,8,0,0,1.000,22.83,9.83,,,,Harry Kipke (8-0),,
87,1931,Western,8,1,1,.850,13.37,0.17,,,,Harry Kipke (8-1-1),,
88,1930,Western,8,0,1,.944,12.40,2.51,,,,Harry Kipke (8-0-1),,
89,1929,Western,5,3,1,.611,8.82,5.49,,,,Harry Kipke (5-3-1),,
90,1928,Western,3,4,1,.438,3.79,5.66,,,,Tad Wieman (3-4-1),,
91,1927,Western,6,2,0,.750,17.85,6.85,,,,Tad Wieman (6-2),,
92,1926,Western,7,1,0,.875,22.77,9.15,,,,Fielding Yost (7-1),,
93,1925,Western,7,1,0,.875,22.64,6.76,,,,Fielding Yost (7-1),,
94,1924,Western,6,2,0,.750,11.08,2.58,,,,George Little (6-2),,
95,1923,Western,8,0,0,1.000,16.53,1.28,,,,Fielding Yost (8-0),,
96,1922,Western,6,0,1,.929,18.28,2.99,,,,Fielding Yost (6-0-1),,
97,1921,Western,5,1,1,.786,13.16,0.45,,,,Fielding Yost (5-1-1),,
98,1920,Western,5,2,0,.714,15.32,4.46,,,,Fielding Yost (5-2),,
99,1919,Western,3,4,0,.429,3.57,5.57,,,,Fielding Yost (3-4),,
100,1918,Western,5,0,0,1.000,21.72,5.52,,,,Fielding Yost (5-0),,
101,1917,Western,8,2,0,.800,9.59,-3.71,,,,Fielding Yost (8-2),,
102,1916,Ind,7,2,0,.778,6.90,-5.77,,,,Fielding Yost (7-2),,
103,1915,Ind,4,3,1,.563,-1.27,-4.52,,,,Fielding Yost (4-3-1),,
104,1914,Ind,6,3,0,.667,8.11,-1.11,,,,Fielding Yost (6-3),,
105,1913,Ind,6,1,0,.857,14.51,-1.06,,,,Fielding Yost (6-1),,
106,1912,Ind,5,2,0,.714,1.31,-7.83,,,,Fielding Yost (5-2),,
107,1911,Ind,5,1,2,.750,7.95,0.20,,,,Fielding Yost (5-1-2),,
108,1910,Ind,3,0,3,.750,5.01,0.84,,,,Fielding Yost (3-0-3),,
109,1909,Ind,6,1,0,.857,9.14,-0.86,,,,Fielding Yost (6-1),,
110,1908,Ind,5,2,1,.688,-1.06,-3.31,,,,Fielding Yost (5-2-1),,
111,1907,Ind,5,1,0,.833,11.05,-1.96,,,,Fielding Yost (5-1),,
112,1906,Western,4,1,0,.800,9.22,1.22,,,,Fielding Yost (4-1),,
113,1905,Western,12,1,0,.923,18.66,-1.49,,,,Fielding Yost (12-1),,
114,1904,Western,10,0,0,1.000,20.26,-2.35,,,,Fielding Yost (10-0),,
115,1903,Western,11,0,1,.958,17.60,-3.74,,,,Fielding Yost (11-0-1),,
116,1902,Western,11,0,0,1.000,21.06,-0.40,,,,Fielding Yost (11-0),,
117,1901,Western,11,0,0,1.000,20.82,-2.55,,,,Fielding Yost (11-0),Rose Bowl-W,
118,1900,Western,7,2,1,.750,4.79,-1.11,,,,Biff Lea (7-2-1),,
119,1899,Western,8,2,0,.800,8.23,-3.07,,,,Gustave Ferbert (8-2),,
120,1898,Western,10,0,0,1.000,11.96,-5.14,,,,Gustave Ferbert (10-0),,
121,1897,Western,6,1,1,.813,7.81,-6.07,,,,Gustave Ferbert (6-1-1),,
122,1896,Western,9,1,0,.900,11.42,-4.98,,,,William Ward (9-1),,
123,1895,Ind,8,1,0,.889,15.12,-1.77,,,,William McCauley (8-1),,
124,1894,Ind,9,1,1,.864,5.57,-4.34,,,,William McCauley (9-1-1),,
125,1893,Ind,7,3,0,.700,11.21,0.61,,,,Frank Barbour (7-3),,
126,1892,Ind,7,5,0,.583,2.88,0.46,,,,Frank Barbour (7-5),,
127,1883,Ind,1,4,0,.200,-3.45,0.95,,,,,,
128,1881,Ind,0,3,0,.000,-2.78,4.22,,,,,,
