,,,Overall,Overall,Overall,Conference,Conference,Conference,,,,,,,,,,
40,1978-79,Big Ten,15,12,.556,8,10,.444,10.80,9.36,70.6,69.1,8,6,,,,Johnny Orr (15-12)
41,1977-78,Big Ten,16,11,.593,11,7,.611,9.79,6.64,77.9,74.8,13,9,,,,Johnny Orr (16-11)
42,1976-77,Big Ten,26,4,.867,16,2,.889,16.61,5.44,85.1,74.0,1,1,1,Lost Regional Final,,Johnny Orr (26-4)
43,1975-76,Big Ten,25,7,.781,14,4,.778,18.25,8.97,86.0,76.8,16,9,9,Lost National Final,,Johnny Orr (25-7)
44,1974-75,Big Ten,19,8,.704,12,6,.667,11.62,6.85,76.6,72.3,17,11,19,Lost First Round,,Johnny Orr (19-8)
45,1973-74,Big Ten,22,5,.815,12,2,.857,14.75,6.90,80.6,72.8,,6,6,Lost Regional Final,,Johnny Orr (22-5)
46,1972-73,Big Ten,13,11,.542,6,8,.429,10.01,6.05,81.4,77.5,19,18,,,,Johnny Orr (13-11)
47,1971-72,Big Ten,14,10,.583,9,5,.643,3.97,3.75,81.6,81.4,13,9,,,,Johnny Orr (14-10)
48,1970-71,Big Ten,19,7,.731,12,2,.857,11.25,6.17,86.0,80.8,,12,,,,Johnny Orr (19-7)
49,1969-70,Big Ten,10,14,.417,5,9,.357,6.49,5.62,88.9,88.3,,,,,,Johnny Orr (10-14)
50,1968-69,Big Ten,13,11,.542,7,7,.500,6.60,7.93,89.7,91.1,,,,,,Johnny Orr (13-11)
51,1967-68,Big Ten,11,13,.458,6,8,.429,1.86,4.95,84.0,86.0,,,,,,Dave Strack (11-13)
52,1966-67,Big Ten,8,16,.333,2,12,.143,0.06,4.18,82.5,86.7,,,,,,Dave Strack (8-16)
53,1965-66,Big Ten,18,8,.692,11,3,.786,12.86,5.34,91.9,83.2,2,2,9,Lost Regional Final,,Dave Strack (18-8)
54,1964-65,Big Ten,24,4,.857,13,1,.929,18.89,8.27,90.4,78.4,1,1,1,Lost National Final,,Dave Strack (24-4)
55,1963-64,Big Ten,23,5,.821,11,3,.786,18.31,7.35,86.4,75.4,8,2,2,Lost National Semifinal,,Dave Strack (23-5)
56,1962-63,Big Ten,16,8,.667,8,6,.571,8.51,4.28,76.5,72.0,,,,,,Dave Strack (16-8)
57,1961-62,Big Ten,7,17,.292,5,9,.357,-0.50,5.81,70.7,75.9,,,,,,Dave Strack (7-17)
58,1960-61,Big Ten,6,18,.250,2,12,.143,-3.58,3.20,66.8,72.0,,,,,,Dave Strack (6-18)
59,1959-60,Big Ten,4,20,.167,1,13,.071,-7.71,5.05,64.6,77.4,,,,,,Bill Perigo (4-20)
60,1958-59,Big Ten,15,7,.682,8,6,.571,8.46,2.83,81.4,75.7,,,,,,Bill Perigo (15-7)
61,1957-58,Big Ten,11,11,.500,6,8,.429,1.72,1.48,76.5,74.5,,,,,,Bill Perigo (11-11)
62,1956-57,Big Ten,13,9,.591,8,6,.571,7.17,4.55,76.5,73.5,,,,,,Bill Perigo (13-9)
63,1955-56,Big Ten,9,13,.409,4,10,.286,2.43,5.61,73.2,76.4,,,,,,Bill Perigo (9-13)
64,1954-55,Big Ten,11,11,.500,5,9,.357,9.59,5.83,79.3,73.3,,,,,,Bill Perigo (11-11)
65,1953-54,Big Ten,9,13,.409,3,11,.214,3.56,6.56,72.6,75.6,,,,,,Bill Perigo (9-13)
66,1952-53,Big Ten,6,16,.273,3,15,.167,0.03,9.31,70.5,78.5,,,,,,Bill Perigo (6-16)
67,1951-52,Big Ten,7,15,.318,4,10,.286,-0.85,3.72,59.0,61.6,,,,,,Ernie McCoy (7-15)
68,1950-51,Big Ten,7,15,.318,3,11,.214,-0.16,4.03,52.7,56.9,,,,,,Ernie McCoy (7-15)
69,1949-50,Big Ten,11,11,.500,4,8,.333,6.64,6.23,57.5,57.1,,,,,,Ernie McCoy (11-11)
70,1948-49,Big Ten,15,6,.714,7,5,.583,,,52.9,46.0,,,,,,Ernie McCoy (15-6)
71,1947-48,Big Ten,16,6,.727,10,2,.833,,,49.8,42.5,,,,Lost Regional Semifinal,,Ozzie Cowles (16-6)
72,1946-47,Big Ten,12,8,.600,6,6,.500,,,,,,,,,,Ozzie Cowles (12-8)
73,1945-46,Big Ten,12,7,.632,6,6,.500,,,,,,,,,,Bennie Oosterbaan (12-7)
74,1944-45,Big Ten,12,7,.632,5,7,.417,,,,,,,,,,Bennie Oosterbaan (12-7)
75,1943-44,Big Ten,8,10,.444,5,7,.417,,,,,,,,,,Bennie Oosterbaan (8-10)
76,1942-43,Big Ten,10,8,.556,4,8,.333,,,,,,,,,,Bennie Oosterbaan (10-8)
77,1941-42,Big Ten,6,14,.300,5,10,.333,,,,,,,,,,Bennie Oosterbaan (6-14)
78,1940-41,Big Ten,9,10,.474,5,7,.417,,,,,,,,,,Bennie Oosterbaan (9-10)
79,1939-40,Big Ten,13,7,.650,6,6,.500,,,,,,,,,,Bennie Oosterbaan (13-7)
80,1938-39,Big Ten,11,9,.550,4,8,.333,,,,,,,,,,Bennie Oosterbaan (11-9)
81,1937-38,Big Ten,12,8,.600,6,6,.500,,,,,,,,,,Cappy Cappon (12-8)
82,1936-37,Big Ten,16,4,.800,9,3,.750,,,,,,,,,,Cappy Cappon (16-4)
83,1935-36,Big Ten,15,5,.750,7,5,.583,,,,,,,,,,Cappy Cappon (15-5)
84,1934-35,Big Ten,8,12,.400,2,10,.167,,,,,,,,,,Cappy Cappon (8-12)
85,1933-34,Big Ten,6,14,.300,4,8,.333,,,,,,,,,,Cappy Cappon (6-14)
86,1932-33,Big Ten,10,8,.556,8,4,.667,,,,,,,,,,Cappy Cappon (10-8)
87,1931-32,Big Ten,11,6,.647,8,4,.667,,,,,,,,,,Cappy Cappon (11-6)
88,1930-31,Big Ten,13,4,.765,8,4,.667,,,,,,,,,,George Veenker (13-4)
89,1929-30,Big Ten,9,5,.643,6,4,.600,,,,,,,,,,George Veenker (9-5)
90,1928-29,Big Ten,13,3,.813,10,2,.833,,,,,,,,,,George Veenker (13-3)
91,1927-28,Big Ten,10,7,.588,7,5,.583,,,,,,,,,,E.J. Mather (10-7)
92,1926-27,Big Ten,14,3,.824,10,2,.833,,,,,,,,,,E.J. Mather (14-3)
93,1925-26,Big Ten,12,5,.706,8,4,.667,,,,,,,,,,E.J. Mather (12-5)
94,1924-25,Big Ten,8,6,.571,6,5,.545,,,,,,,,,,E.J. Mather (8-6)
95,1923-24,Big Ten,10,7,.588,6,6,.500,,,,,,,,,,E.J. Mather (10-7)
96,1922-23,Big Ten,11,4,.733,8,4,.667,,,,,,,,,,E.J. Mather (11-4)
97,1921-22,Big Ten,15,4,.789,8,4,.667,,,,,,,,,,E.J. Mather (15-4)
98,1920-21,Big Ten,18,4,.818,8,4,.667,,,,,,,,,,E.J. Mather (18-4)
99,1919-20,Big Ten,10,13,.435,3,9,.250,,,,,,,,,,E.J. Mather (10-13)
100,1918-19,Big Ten,18,6,.750,5,5,.500,,,,,,,,,,Elmer Mitchell (18-6)
101,1917-18,Big Ten,6,12,.333,0,10,.000,,,,,,,,,,Elmer Mitchell (6-12)
